Start date,Trial,type,Farm,Field id,Plot id,Subject,GBE_Id,Subject_Type,Attribute,Value,Units,Participant_Type,Participant,Status_Qualifier,Comment
6/1/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,A1,Plant,1,Romaine Lettuce 'Outrageous',Planting,3,count,person,pmw,Test,
6/8/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,A2,Plant,137,Flashy Trout's Back Lettuce,Planting,3,count,person,pmw,Test,
6/8/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,A3,Plant,1,Romaine Lettuce 'Outrageous',Planting,3,count,person,pmw,Test,
6/1/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,B1,Plant,136,Butterhead Lettuce 'Flandria',Planting,3,count,person,pmw,Test,
6/1/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,B2,Plant,1,Romaine Lettuce 'Outrageous',Planting,3,count,person,pmw,Test,
6/1/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,B3,Plant,137,Flashy Trout's Back Lettuce,Planting,3,count,person,pmw,Test,
6/8/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,A1,Plant,1,Romaine Lettuce 'Outrageous',Thinning,2,count,person,pmw,Test,
6/8/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,A2,Plant,137,Flashy Trout's Back Lettuce,Thinning,1,count,person,pmw,Test,
6/8/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,A3,Plant,1,Romaine Lettuce 'Outrageous',Thinning,1,count,person,pmw,Test,
6/8/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,B1,Plant,136,Butterhead Lettuce 'Flandria',Thinning,2,count,person,pmw,Test,
6/8/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,B2,Plant,1,Romaine Lettuce 'Outrageous',Thinning,2,count,person,pmw,Test,
6/8/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,B3,Plant,137,Flashy Trout's Back Lettuce,Thinning,1,count,person,pmw,Test,
6/28/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,A1,Plant,1,Romaine Lettuce 'Outrageous',Harvest,1,count,person,pmw,Test,
6/28/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,A2,Plant,137,Flashy Trout's Back Lettuce,Harvest,1,count,person,pmw,Test,
6/28/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,A3,Plant,1,Romaine Lettuce 'Outrageous',Harvest,1,count,person,pmw,Test,
6/28/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,B1,Plant,136,Butterhead Lettuce 'Flandria',Harvest,1,count,person,pmw,Test,
6/28/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,B2,Plant,1,Romaine Lettuce 'Outrageous',Harvest,1,count,person,pmw,Test,
6/28/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,B3,Plant,137,Flashy Trout's Back Lettuce,Harvest,1,count,person,pmw,Test,
6/28/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,A2,Plant,137,Flashy Trout's Back Lettuce,Harvest,1,count,person,pmw,Test,
6/5/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,A1,Plant,1,Romaine Lettuce 'Outrageous',Germination,1,count,person,pmw,Test,
6/6/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,A1,Plant,1,Romaine Lettuce 'Outrageous',Germination,1,count,person,pmw,Test,
6/6/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,A3,Plant,1,Romaine Lettuce 'Outrageous',Germination,1,count,person,pmw,Test,
6/6/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,B1,Plant,136,Butterhead Lettuce 'Flandria',Germination,1,count,person,pmw,Test,
6/6/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,B3,Plant,137,Flashy Trout's Back Lettuce,Germination,1,count,person,pmw,Test,
6/7/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,A1,Plant,1,Romaine Lettuce 'Outrageous',Germination,1,count,person,pmw,Test,
6/7/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,A2,Plant,137,Flashy Trout's Back Lettuce,Germination,1,count,person,pmw,Test,
6/7/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,A3,Plant,1,Romaine Lettuce 'Outrageous',Germination,1,count,person,pmw,Test,
6/7/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,B1,Plant,136,Butterhead Lettuce 'Flandria',Germination,1,count,person,pmw,Test,
6/7/2021 12:02,GBE_T1,Agronomic_Activity,OpenAgBloom,GBE_D_3,B2,Plant,137,Flashy Trout's Back Lettuce,Germination,1,count,person,pmw,Test,
