Start date,Trial,type,Farm,Field id,Plot id,Subject,GBE_Id,Subject_Type,Attribute,Value,Units,Participant_Type,Participant,Status_Qualifier,Comment
6/7/2021 12:02,GBE_T1,Phenotype_Observation,OpenAgBloom,GBE_D_3,A1,Plant,1,Romaine Lettuce 'Outrageous',Height,12,mm,person,pmw,Test,
6/7/2021 12:02,GBE_T1,Phenotype_Observation,OpenAgBloom,GBE_D_3,A2,Plant,137,Flashy Trout's Back Lettuce,Height,22,mm,person,rr,Test,
6/7/2021 12:02,GBE_T1,Phenotype_Observation,OpenAgBloom,GBE_D_3,A3,Plant,1,Romaine Lettuce 'Outrageous',Height,17,mm,person,hh,Test,
6/7/2021 12:02,GBE_T1,Phenotype_Observation,OpenAgBloom,GBE_D_3,B1,Plant,136,Butterhead Lettuce 'Flandria',Height,32,mm,person,hmw,Test,
6/7/2021 12:02,GBE_T1,Phenotype_Observation,OpenAgBloom,GBE_D_3,B2,Plant,1,Romaine Lettuce 'Outrageous',Height,21,mm,person,hmw,Test,
6/7/2021 12:02,GBE_T1,Phenotype_Observation,OpenAgBloom,GBE_D_3,B3,Plant,137,Flashy Trout's Back Lettuce,Height,19,mm,person,pmw,Test,
6/7/2021 12:02,GBE_T1,Phenotype_Observation,OpenAgBloom,GBE_D_3,A1,Plant,1,Romaine Lettuce 'Outrageous',Width,16,mm,person,hmw,Test,
6/7/2021 12:02,GBE_T1,Phenotype_Observation,OpenAgBloom,GBE_D_3,A2,Plant,137,Flashy Trout's Back Lettuce,Width,14,mm,person,hmw,Test,
6/7/2021 12:02,GBE_T1,Phenotype_Observation,OpenAgBloom,GBE_D_3,A3,Plant,1,Romaine Lettuce 'Outrageous',Width,13,mm,person,rr,Test,
6/7/2021 12:02,GBE_T1,Phenotype_Observation,OpenAgBloom,GBE_D_3,B1,Plant,136,Butterhead Lettuce 'Flandria',Width,21,mm,person,hmw,Test,
6/7/2021 12:02,GBE_T1,Phenotype_Observation,OpenAgBloom,GBE_D_3,B2,Plant,1,Romaine Lettuce 'Outrageous',Width,22,mm,person,hh,Test,
6/7/2021 12:02,GBE_T1,Phenotype_Observation,OpenAgBloom,GBE_D_3,B3,Plant,137,Flashy Trout's Back Lettuce,Width,16,mm,person,hmw,Test,
6/7/2021 12:02,GBE_T1,Phenotype_Observation,OpenAgBloom,GBE_D_3,A1,Plant,1,Romaine Lettuce 'Outrageous',Length,12,mm,person,hmw,Test,
6/7/2021 12:02,GBE_T1,Phenotype_Observation,OpenAgBloom,GBE_D_3,A2,Plant,137,Flashy Trout's Back Lettuce,Length,18,mm,person,pmw,Test,
6/7/2021 12:02,GBE_T1,Phenotype_Observation,OpenAgBloom,GBE_D_3,A3,Plant,1,Romaine Lettuce 'Outrageous',Length,21,mm,person,hmw,Test,
6/7/2021 12:02,GBE_T1,Phenotype_Observation,OpenAgBloom,GBE_D_3,B1,Plant,136,Butterhead Lettuce 'Flandria',Length,16,mm,person,pmw,Test,
6/7/2021 12:02,GBE_T1,Phenotype_Observation,OpenAgBloom,GBE_D_3,B2,Plant,1,Romaine Lettuce 'Outrageous',Length,13,mm,person,hmw,Test,
